age,gender,extraversion,agreeableness,conscientiousness,neuroticism,openness
53,1,4.4,4.4,4.3,2.3,4.1
46,2,2.2,3.3,4.0,2.9,3.2
14,2,3.5,3.4,4.5,3.4,3.7
19,2,2.2,3.5,2.6,3.1,3.9
25,2,3.4,4.0,3.4,2.8,3.8
31,2,1.6,3.2,3.1,2.8,3.1
20,2,4.6,4.3,2.8,2.7,3.9
23,1,3.9,3.9,4.0,2.7,3.8
39,2,4.5,4.5,4.1,2.9,3.7
18,2,1.5,3.5,3.8,3.5,3.9
17,2,1.3,4.1,2.4,3.2,3.4
15,1,3.0,3.3,2.8,2.2,3.4
22,2,3.4,4.2,3.7,2.9,3.5
21,2,1.7,3.1,4.1,3.8,3.7
28,2,2.6,4.0,3.8,2.9,3.6
21,1,2.8,2.1,3.8,2.5,4.1
19,2,2.0,2.1,3.2,2.9,4.1
21,2,4.6,4.2,3.0,3.8,3.3
26,2,2.0,3.6,4.4,3.2,3.9
26,2,2.8,3.3,3.5,3.3,3.8
19,2,2.1,3.8,2.4,3.2,3.9
29,2,3.2,3.6,3.9,3.0,4.1
29,2,2.1,3.9,4.0,3.4,3.7
21,1,3.3,3.9,3.1,2.8,4.0
52,2,2.7,3.7,2.3,3.0,3.4
19,2,2.3,3.7,3.3,3.1,3.5
48,1,4.4,3.3,2.0,3.0,3.8
22,1,2.8,3.6,3.2,3.2,3.3
17,2,2.2,3.9,2.4,3.5,3.5
37,1,3.1,3.6,3.5,2.7,3.6
19,2,2.7,3.8,2.5,3.2,3.2
22,2,2.6,3.4,3.1,3.6,4.1
25,1,4.0,3.6,3.6,2.8,3.4
20,2,4.6,4.1,2.0,3.1,4.0
15,2,1.8,2.9,1.9,3.1,3.1
46,2,2.7,3.3,4.1,3.3,3.8
15,1,2.1,3.7,3.4,2.7,3.6
18,2,2.8,4.2,3.6,2.9,4.0
42,1,2.1,2.9,2.0,3.2,3.9
27,2,2.1,3.9,4.1,3.5,3.5
17,1,4.6,2.2,4.6,2.2,4.2
17,2,3.5,4.1,4.0,3.9,3.5
