age,gender,honesty_humility,emotionality,extraversion,agreeableness,conscientiousness,openness,relationship_dishonesty,had_relationship_dishonesty,in_relationship,relationship_length_months,study_id
35,1,3.7,3.06,2.64,3.19,2.64,3.13,1.56,0,1,36,1
21,1,3.27,2.22,2.8,3.09,2.94,5.0,1.4,0,1,71,1
39,0,3.7,1.99,4.01,3.29,3.77,2.5,1.63,0,1,5,1
41,0,2.42,2.02,3.79,3.34,3.29,5.0,1.96,0,1,83,1
18,0,2.85,2.91,3.55,3.65,3.09,2.75,2.2,0,0,0,1
18,1,3.47,3.04,3.13,3.65,4.49,4.26,1.1,0,0,0,1
33,1,1.92,3.68,4.37,3.41,5.0,3.96,3.99,1,1,12,1
28,1,3.2,3.18,3.47,4.01,3.57,2.78,2.37,0,1,7,1
31,1,3.16,3.79,2.48,3.12,2.67,3.81,2.1,0,1,8,1
23,0,3.2,3.23,4.3,2.73,3.85,3.06,1.46,0,1,15,1
40,0,3.04,3.21,3.64,2.83,2.31,3.59,1.93,0,0,0,1
39,0,2.75,2.8,4.22,3.04,2.76,3.5,2.18,0,0,0,1
32,1,2.22,4.2,3.87,2.45,3.86,3.16,2.84,1,1,24,1
43,0,3.49,2.13,5.0,2.73,2.74,3.11,1.91,0,1,43,1
36,1,3.2,3.41,3.3,2.42,3.42,3.63,2.05,0,1,55,1
23,1,2.51,3.07,3.51,3.31,2.68,2.79,2.66,1,1,122,1
35,1,3.44,3.75,3.97,3.31,3.63,2.81,1.66,0,1,19,1
22,0,3.21,3.19,3.3,2.04,4.3,4.05,2.1,0,0,0,1
40,0,3.1,3.21,4.02,2.71,3.22,3.69,1.7,0,0,0,1
31,1,2.0,3.01,1.58,4.2,3.59,2.51,2.37,0,0,0,1
30,1,3.84,4.18,3.45,3.48,3.09,2.72,2.35,0,0,0,1
25,0,2.6,3.2,3.43,3.37,3.14,1.95,2.63,1,1,169,1
44,1,3.44,4.58,3.41,2.7,3.08,4.02,2.65,1,1,6,1
30,1,2.87,3.39,2.93,3.27,4.09,3.87,2.07,0,1,9,1
27,1,3.15,3.22,4.09,3.09,2.72,2.66,3.19,1,1,55,1
28,0,4.15,3.1,3.17,2.62,3.39,3.84,1.22,0,1,60,1
37,0,3.75,3.59,3.63,2.8,3.85,4.75,2.07,0,1,54,1
35,0,4.13,2.79,3.48,2.82,4.16,2.35,1.21,0,0,0,1
36,0,3.61,3.3,3.83,2.21,3.87,2.98,1.69,0,0,0,1
36,1,3.66,3.21,4.43,2.31,3.55,2.34,1.51,0,0,0,1
53,1,2.24,3.43,3.63,2.98,3.25,4.05,2.46,0,1,5,1
27,1,3.19,3.45,4.05,2.59,4.17,3.33,2.44,0,0,0,1
26,1,3.25,3.48,3.59,2.92,3.06,3.13,1.9,0,1,152,1
23,0,4.2,3.27,3.17,2.14,3.07,3.55,1.56,0,1,4,1
38,0,3.07,4.3,3.41,3.58,4.44,3.02,2.5,1,1,43,1
43,1,3.57,3.5,3.32,4.35,3.82,3.13,2.35,0,1,1,1
30,1,3.55,5.0,3.87,3.72,3.85,3.59,1.87,0,1,3,1
23,1,4.15,3.23,3.57,3.78,3.97,2.99,1.0,0,0,0,1
23,0,3.31,3.87,2.98,3.48,3.54,3.08,1.69,0,1,10,1
38,0,3.94,2.69,3.36,3.26,2.71,3.29,1.34,0,1,1,1
39,0,2.29,4.18,2.51,3.15,3.76,3.46,2.67,1,1,20,1
37,1,2.35,2.71,3.38,2.55,3.59,3.81,3.28,1,1,4,1
25,1,1.92,3.52,3.5,3.51,3.07,3.8,3.53,1,1,21,1
34,1,3.91,3.01,4.68,3.48,2.92,2.38,1.3,0,1,28,1
33,1,3.84,3.52,4.38,2.82,3.57,4.36,2.64,1,1,3,1
34,0,3.98,3.04,2.83,3.42,2.76,3.44,1.14,0,1,4,1
40,1,2.96,2.65,3.63,2.68,3.51,3.17,2.0,0,1,3,1
34,0,3.03,3.01,3.64,2.72,3.44,2.79,1.53,0,1,28,1
38,1,3.32,4.28,3.35,3.57,3.53,4.75,1.06,0,1,34,1
32,1,4.34,3.53,3.39,3.36,3.85,5.0,1.0,0,1,44,1
34,1,4.5,2.3,3.27,2.96,3.99,4.67,1.41,0,1,65,1
38,0,3.92,3.97,4.72,2.89,3.16,3.48,1.73,0,1,25,1
18,1,3.62,2.58,3.23,3.2,4.14,3.63,1.16,0,1,41,1
28,1,4.27,3.72,3.72,2.0,3.46,4.41,1.13,0,1,104,1
27,0,3.23,3.59,1.86,2.65,4.69,3.24,2.32,0,1,310,1
25,0,3.15,3.63,4.04,2.34,3.24,3.77,1.0,0,1,19,1
29,1,3.32,4.5,4.27,3.11,2.6,3.55,2.73,1,1,1,1
46,0,2.76,2.62,2.82,3.75,4.12,4.7,2.82,1,1,43,1
23,0,3.29,3.63,3.17,3.39,3.86,4.38,2.27,0,1,51,1
41,0,2.67,4.08,3.79,2.79,4.35,3.31,2.97,1,0,0,1
18,0,4.07,2.75,3.51,2.68,3.79,4.44,1.0,0,1,23,1
28,1,3.75,2.68,3.8,2.65,5.0,3.4,1.39,0,1,1,1
33,1,4.33,3.0,3.31,4.3,3.48,3.03,1.67,0,1,27,1
37,0,2.34,3.43,4.71,3.14,4.25,3.21,2.62,1,0,0,1
39,1,4.64,2.21,3.06,3.22,3.27,3.5,1.16,0,0,0,1
39,0,2.38,3.59,5.0,1.83,3.9,2.87,3.32,1,1,84,1
28,0,2.62,2.21,4.31,2.39,4.02,3.05,2.76,1,1,32,1
27,0,3.0,4.11,4.04,3.07,4.12,2.42,1.97,0,1,62,1
40,1,4.25,3.56,2.82,2.8,4.08,2.84,1.39,0,0,0,1
30,1,3.55,4.54,4.09,3.18,1.59,3.56,1.0,0,1,22,1
19,1,3.24,3.67,3.89,3.17,3.56,4.11,2.15,0,1,4,1
